[2137150603(TR: 10.90189, TS: 10.61341) -> {880680199=530, 1689826712=237, 1119091505=221, 1998680479=220, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[2026184170(TR: 10.90194, TS: 10.54987) -> {880680199=362, 1689826712=161, 1119091505=161, 1998680479=161}]
[223157674(TR: 10.90209, TS: 10.57881) -> {880680199=172, 1689826712=78, 1119091505=78, 1998680479=78}]
[1314110866(TR: 10.90226, TS: 10.47465) -> {880680199=132, 1689826712=62, 1119091505=62, 1998680479=62}]
[595099359(TR: 10.90226, TS: 10.57093) -> {880680199=358, 1689826712=157, 1119091505=157, 1998680479=157}]
[1937902871(TR: 10.90253, TS: 10.55767) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[382201472(TR: 10.90254, TS: 10.60703) -> {880680199=238, 1689826712=107, 1119091505=107, 1998680479=107}]
[1168862951(TR: 10.90279, TS: 10.56978) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[625307147(TR: 10.90295, TS: 10.56619) -> {880680199=348, 1689826712=158, 1119091505=158, 1998680479=158}]
[1187788033(TR: 10.90310, TS: 10.55081) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[1876320438(TR: 10.90350, TS: 10.68158) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[1897199613(TR: 10.90355, TS: 10.50811) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[2133846754(TR: 10.90365, TS: 10.54720) -> {880680199=358, 1689826712=157, 1119091505=157, 1998680479=157}]
[1483516987(TR: 10.90381, TS: 10.55976) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[82031696(TR: 10.90381, TS: 10.55976) -> {880680199=236, 1689826712=106, 1119091505=106, 1998680479=106}]
[1377701934(TR: 10.90400, TS: 10.49488) -> {880680199=228, 1689826712=102, 1119091505=102, 1998680479=102}]
[1390839925(TR: 10.90414, TS: 10.62580) -> {880680199=188, 1689826712=86, 1119091505=86, 1998680479=86}]
[1867971430(TR: 10.90415, TS: 10.64146) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[1989055464(TR: 10.90419, TS: 10.65201) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[1412653687(TR: 10.90457, TS: 10.45468) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[854650276(TR: 10.90459, TS: 10.45302) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[1780854103(TR: 10.90478, TS: 10.57172) -> {880680199=132, 1689826712=62, 1119091505=62, 1998680479=62}]
[1748394536(TR: 10.90503, TS: 10.56441) -> {880680199=142, 1689826712=63, 1119091505=63, 1998680479=63}]
[668571011(TR: 10.90519, TS: 10.54325) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[317837585(TR: 10.90523, TS: 10.55992) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[1442416909(TR: 10.90525, TS: 10.50177) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[235243192(TR: 10.90531, TS: 10.68029) -> {880680199=358, 1689826712=159, 1119091505=159, 1998680479=159}]
[1696296822(TR: 10.90581, TS: 10.68087) -> {880680199=392, 1689826712=176, 1119091505=160, 1998680479=159, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[2046710685(TR: 10.90600, TS: 10.46582) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[1624640590(TR: 10.90612, TS: 10.53673) -> {880680199=228, 1689826712=102, 1119091505=102, 1998680479=102}]
[1111778986(TR: 10.90632, TS: 10.71430) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[2082132299(TR: 10.90659, TS: 10.58135) -> {880680199=288, 1689826712=128, 1119091505=128, 1998680479=128}]
[2012415982(TR: 10.90740, TS: 10.55651) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[655872290(TR: 10.90742, TS: 10.59317) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[1174897244(TR: 10.90748, TS: 10.57220) -> {880680199=298, 1689826712=137, 1119091505=137, 1998680479=137}]
[1815970654(TR: 10.90768, TS: 10.49862) -> {880680199=288, 1689826712=128, 1119091505=128, 1998680479=128}]
[60699968(TR: 10.90808, TS: 10.44853) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[437873360(TR: 10.90815, TS: 10.56756) -> {880680199=262, 1689826712=119, 1119091505=119, 1998680479=119}]
[1626742445(TR: 10.90910, TS: 10.57579) -> {880680199=188, 1689826712=86, 1119091505=86, 1998680479=86}]
[1615943326(TR: 10.90925, TS: 10.45056) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[311909345(TR: 10.90937, TS: 10.53096) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[1124723849(TR: 10.90942, TS: 10.49091) -> {880680199=348, 1689826712=154, 1119091505=154, 1998680479=154}]
[324702515(TR: 10.90946, TS: 10.48126) -> {880680199=168, 1689826712=76, 1119091505=76, 1998680479=76}]
[2035667040(TR: 10.90965, TS: 10.56749) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[1362482424(TR: 10.90967, TS: 10.55933) -> {880680199=236, 1689826712=106, 1119091505=106, 1998680479=106}]
[1565788147(TR: 10.90968, TS: 10.43159) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[440452707(TR: 10.90969, TS: 10.64144) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[1304544155(TR: 10.90974, TS: 10.67699) -> {880680199=602, 1689826712=269, 1119091505=253, 1998680479=252, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[841764047(TR: 10.91000, TS: 10.55923) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[1329250022(TR: 10.91019, TS: 10.49539) -> {880680199=172, 1689826712=78, 1119091505=78, 1998680479=78}]
[1398086332(TR: 10.91021, TS: 10.52728) -> {880680199=310, 1689826712=139, 1119091505=139, 1998680479=139}]
[281794134(TR: 10.91033, TS: 10.47580) -> {880680199=518, 1689826712=231, 1119091505=215, 1998680479=214, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[1087482548(TR: 10.91070, TS: 10.56739) -> {880680199=230, 1689826712=107, 1119091505=107, 1998680479=107}]
[1518789062(TR: 10.91081, TS: 10.56764) -> {880680199=336, 1689826712=152, 1119091505=152, 1998680479=152}]
[570261712(TR: 10.91094, TS: 10.57114) -> {880680199=416, 1689826712=188, 1119091505=188, 1998680479=188}]
[1875549151(TR: 10.91099, TS: 10.43653) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[579016856(TR: 10.91099, TS: 10.47507) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
