[883577906(TR: 9.42351, TS: 9.02609) -> {880680199=161466266, 1689826712=72567147, 1119091505=72297275, 1998680479=72280408, 55964929=202404, 1720288815=151803, 1236336798=151803, 1313328519=134936, 1561859852=84335, 869939083=50601, 635680347=50601, 426551051=33734, 2138915098=16867, 338809723=16867, 1509037246=16867, 184418917=16867}]
[774052058(TR: 9.42361, TS: 8.79230) -> {880680199=37706538, 1689826712=16946879, 1119091505=16884367, 1998680479=16880460, 55964929=46884, 1720288815=35163, 1236336798=35163, 1313328519=31256, 1561859852=19535, 869939083=11721, 635680347=11721, 426551051=7814, 2138915098=3907, 338809723=3907, 1509037246=3907, 184418917=3907}]
[683811140(TR: 9.42376, TS: 8.86308) -> {880680199=114380116, 1689826712=51405212, 1119091505=51213996, 1998680479=51202045, 55964929=143412, 1720288815=107559, 1236336798=107559, 1313328519=95608, 1561859852=59755, 869939083=35853, 635680347=35853, 426551051=23902, 2138915098=11951, 338809723=11951, 1509037246=11951, 184418917=11951}]
[977372935(TR: 9.42382, TS: 9.02602) -> {880680199=127305636, 1689826712=57213928, 1119091505=57000776, 1998680479=56987454, 55964929=159864, 1720288815=119898, 1236336798=119898, 1313328519=106576, 1561859852=66610, 869939083=39966, 635680347=39966, 426551051=26644, 2138915098=13322, 338809723=13322, 1509037246=13322, 184418917=13322}]
[1546411961(TR: 9.42390, TS: 8.92313) -> {880680199=81396716, 1689826712=36582280, 1119091505=36446776, 1998680479=36438307, 55964929=101628, 1720288815=76221, 1236336798=76221, 1313328519=67752, 1561859852=42345, 869939083=25407, 635680347=25407, 426551051=16938, 2138915098=8469, 338809723=8469, 1509037246=8469, 184418917=8469}]
[1786734894(TR: 9.42391, TS: 8.91691) -> {880680199=60471666, 1689826712=27177899, 1119091505=27077195, 1998680479=27070901, 55964929=75528, 1720288815=56646, 1236336798=56646, 1313328519=50352, 1561859852=31470, 869939083=18882, 635680347=18882, 426551051=12588, 2138915098=6294, 338809723=6294, 1509037246=6294, 184418917=6294}]
[1401859364(TR: 9.42391, TS: 8.95669) -> {880680199=21905508, 1689826712=9844708, 1119091505=9807940, 1998680479=9805642, 55964929=27576, 1720288815=20682, 1236336798=20682, 1313328519=18384, 1561859852=11490, 869939083=6894, 635680347=6894, 426551051=4596, 2138915098=2298, 338809723=2298, 1509037246=2298, 184418917=2298}]
[1698783725(TR: 9.42413, TS: 8.93576) -> {880680199=75843166, 1689826712=34086119, 1119091505=33959671, 1998680479=33951768, 55964929=94836, 1720288815=71127, 1236336798=71127, 1313328519=63224, 1561859852=39515, 869939083=23709, 635680347=23709, 426551051=15806, 2138915098=7903, 338809723=7903, 1509037246=7903, 184418917=7903}]
[1529756523(TR: 9.42438, TS: 8.98185) -> {880680199=42678798, 1689826712=19181647, 1119091505=19110911, 1998680479=19106490, 55964929=53052, 1720288815=39789, 1236336798=39789, 1313328519=35368, 1561859852=22105, 869939083=13263, 635680347=13263, 426551051=8842, 2138915098=4421, 338809723=4421, 1509037246=4421, 184418917=4421}]
[1250500409(TR: 9.42461, TS: 8.91946) -> {880680199=113548662, 1689826712=51031193, 1119091505=50841113, 1998680479=50829233, 55964929=142560, 1720288815=106920, 1236336798=106920, 1313328519=95040, 1561859852=59400, 869939083=35640, 635680347=35640, 426551051=23760, 2138915098=11880, 338809723=11880, 1509037246=11880, 184418917=11880}]
[1816685761(TR: 9.42464, TS: 8.86017) -> {880680199=129349692, 1689826712=58133364, 1119091505=57917540, 1998680479=57904051, 55964929=161868, 1720288815=121401, 1236336798=121401, 1313328519=107912, 1561859852=67445, 869939083=40467, 635680347=40467, 426551051=26978, 2138915098=13489, 338809723=13489, 1509037246=13489, 184418917=13489}]
[48772780(TR: 9.42487, TS: 8.90028) -> {880680199=151824142, 1689826712=68232597, 1119091505=67977941, 1998680479=67962025, 55964929=190992, 1720288815=143244, 1236336798=143244, 1313328519=127328, 1561859852=79580, 869939083=47748, 635680347=47748, 426551051=31832, 2138915098=15916, 338809723=15916, 1509037246=15916, 184418917=15916}]
