[288669537(TR: 10.52656, TS: 10.06965) -> {880680199=5382, 2087390487=138}]
[1335477579(TR: 10.52675, TS: 9.99107) -> {880680199=2184, 2087390487=56}]
[401859446(TR: 10.52686, TS: 10.00353) -> {880680199=2730, 2087390487=70}]
[1888163296(TR: 10.52689, TS: 10.03834) -> {880680199=5976, 2087390487=154}]
[1156608807(TR: 10.52694, TS: 10.04113) -> {880680199=546, 2087390487=14}]
[1170363759(TR: 10.52696, TS: 10.07393) -> {880680199=2730, 2087390487=70}]
[1294137074(TR: 10.52706, TS: 10.03920) -> {880680199=6522, 2087390487=168}]
[1705959075(TR: 10.52715, TS: 10.08047) -> {880680199=1092, 2087390487=28}]
[570486906(TR: 10.52735, TS: 10.06796) -> {880680199=2184, 2087390487=56}]
[1975427192(TR: 10.52765, TS: 10.15222) -> {880680199=1092, 2087390487=28}]
[804347227(TR: 10.52777, TS: 10.04922) -> {880680199=8496, 2087390487=219}]
[1018811840(TR: 10.52778, TS: 10.09790) -> {880680199=5430, 2087390487=140}]
[429875469(TR: 10.52784, TS: 10.21979) -> {880680199=1638, 2087390487=42}]
[430096166(TR: 10.52807, TS: 10.03571) -> {880680199=1638, 2087390487=42}]
[1016869580(TR: 10.52818, TS: 10.05738) -> {880680199=1638, 2087390487=42}]
[1325000522(TR: 10.52820, TS: 10.08826) -> {880680199=2730, 2087390487=70}]
[747397265(TR: 10.52821, TS: 10.11242) -> {880680199=3276, 2087390487=84}]
[542880169(TR: 10.52828, TS: 10.08901) -> {880680199=1638, 2087390487=42}]
[2098003260(TR: 10.52837, TS: 9.92521) -> {880680199=1638, 2087390487=42}]
[2093913696(TR: 10.52842, TS: 10.00764) -> {880680199=7950, 2087390487=205}]
[856287616(TR: 10.52861, TS: 10.04089) -> {880680199=3276, 2087390487=84}]
[1319293105(TR: 10.52862, TS: 10.07739) -> {880680199=1092, 2087390487=28}]
[1423782212(TR: 10.52865, TS: 10.03990) -> {880680199=4368, 2087390487=112}]
[1546178601(TR: 10.52866, TS: 10.01206) -> {880680199=546, 2087390487=14}]
[546400197(TR: 10.52870, TS: 10.12206) -> {880680199=2184, 2087390487=56}]
[2020482110(TR: 10.52880, TS: 10.08002) -> {880680199=5538, 2087390487=142}]
[1166296422(TR: 10.52884, TS: 10.10604) -> {880680199=546, 2087390487=14}]
[1605860455(TR: 10.52886, TS: 10.03051) -> {880680199=5430, 2087390487=140}]
[1957922587(TR: 10.52898, TS: 10.12629) -> {880680199=2184, 2087390487=56}]
[2092231263(TR: 10.52918, TS: 10.04041) -> {880680199=3276, 2087390487=84}]
[461123546(TR: 10.52919, TS: 10.03977) -> {880680199=5976, 2087390487=154}]
[2135698582(TR: 10.52926, TS: 10.03573) -> {880680199=3276, 2087390487=84}]
[389015355(TR: 10.52927, TS: 10.03827) -> {880680199=10860, 2087390487=280}]
[1284641171(TR: 10.52927, TS: 10.06135) -> {880680199=1638, 2087390487=42}]
[921363748(TR: 10.52931, TS: 10.07142) -> {880680199=546, 2087390487=14}]
[677140467(TR: 10.52940, TS: 10.06308) -> {880680199=2730, 2087390487=70}]
[1075997692(TR: 10.52942, TS: 10.05829) -> {880680199=3276, 2087390487=84}]
[484500706(TR: 10.52955, TS: 10.04785) -> {880680199=5976, 2087390487=154}]
[2101535135(TR: 10.52969, TS: 10.03968) -> {880680199=2184, 2087390487=56}]
[938197515(TR: 10.52993, TS: 10.06151) -> {880680199=3276, 2087390487=84}]
[1682256513(TR: 10.53004, TS: 10.02932) -> {880680199=2730, 2087390487=70}]
[2140740895(TR: 10.53036, TS: 10.06423) -> {880680199=2730, 2087390487=70}]
[364729706(TR: 10.53042, TS: 10.06001) -> {880680199=5976, 2087390487=154}]
[2083464780(TR: 10.53045, TS: 10.05205) -> {880680199=1638, 2087390487=42}]
[825479794(TR: 10.53048, TS: 10.05259) -> {880680199=5976, 2087390487=154}]
[108347566(TR: 10.53053, TS: 10.05520) -> {880680199=546, 2087390487=14}]
[2031899407(TR: 10.53059, TS: 10.06644) -> {880680199=546, 2087390487=14}]
[2089027366(TR: 10.53061, TS: 10.04624) -> {880680199=2730, 2087390487=70}]
[1401682566(TR: 10.53065, TS: 10.06518) -> {880680199=546, 2087390487=14}]
[2136453225(TR: 10.53066, TS: 10.04496) -> {880680199=1638, 2087390487=42}]
[1682440359(TR: 10.53079, TS: 10.22225) -> {880680199=546, 2087390487=14}]
[942245439(TR: 10.53083, TS: 10.07649) -> {880680199=1638, 2087390487=42}]
[880411766(TR: 10.53103, TS: 9.91656) -> {880680199=546, 2087390487=14}]
[1995193960(TR: 10.53113, TS: 10.07234) -> {880680199=3276, 2087390487=84}]
[1384469802(TR: 10.53127, TS: 10.00349) -> {880680199=3276, 2087390487=84}]
[644426043(TR: 10.53128, TS: 10.02003) -> {880680199=2184, 2087390487=56}]
[1112850484(TR: 10.53141, TS: 10.09270) -> {880680199=2184, 2087390487=56}]
[1440524648(TR: 10.53154, TS: 10.04185) -> {880680199=5976, 2087390487=154}]
[755538684(TR: 10.53166, TS: 10.03997) -> {880680199=8160, 2087390487=210}]
[1111969431(TR: 10.53168, TS: 10.06570) -> {880680199=16578, 2087390487=427}]
[653685643(TR: 10.53183, TS: 10.06153) -> {880680199=1638, 2087390487=42}]
[374413780(TR: 10.53186, TS: 10.09442) -> {880680199=3222, 2087390487=83}]
