[1058604622(TR: 11.08324, TS: 10.69090) -> {880680199=780, 2087390487=20}]
[574348678(TR: 11.08336, TS: 10.65467) -> {880680199=468, 2087390487=12}]
[1137915070(TR: 11.08337, TS: 10.67165) -> {880680199=1584, 2087390487=41}]
[1347177321(TR: 11.08356, TS: 10.72985) -> {880680199=312, 2087390487=8}]
[663755864(TR: 11.08361, TS: 10.68004) -> {880680199=1326, 2087390487=34}]
[1530606273(TR: 11.08373, TS: 10.81853) -> {880680199=624, 2087390487=16}]
[18324444(TR: 11.08398, TS: 10.66763) -> {880680199=936, 2087390487=24}]
[858955668(TR: 11.08401, TS: 10.66770) -> {880680199=624, 2087390487=16}]
[342304630(TR: 11.08404, TS: 10.66759) -> {880680199=936, 2087390487=24}]
[382247425(TR: 11.08424, TS: 10.69401) -> {880680199=468, 2087390487=12}]
[725353087(TR: 11.08445, TS: 10.66568) -> {880680199=936, 2087390487=24}]
[215344819(TR: 11.08446, TS: 10.65252) -> {880680199=780, 2087390487=20}]
[556022984(TR: 11.08455, TS: 10.68017) -> {880680199=1740, 2087390487=45}]
[1915701831(TR: 11.08465, TS: 10.72833) -> {880680199=936, 2087390487=24}]
[961249671(TR: 11.08474, TS: 10.70484) -> {880680199=156, 2087390487=4}]
[445122659(TR: 11.08492, TS: 10.75304) -> {880680199=624, 2087390487=16}]
[441099654(TR: 11.08503, TS: 10.64528) -> {880680199=312, 2087390487=8}]
[314554874(TR: 11.08505, TS: 10.67136) -> {880680199=1248, 2087390487=32}]
[1998407059(TR: 11.08508, TS: 10.74351) -> {880680199=1452, 2087390487=38}]
[755793923(TR: 11.08512, TS: 10.68831) -> {880680199=882, 2087390487=23}]
[1655010993(TR: 11.08513, TS: 10.69861) -> {880680199=780, 2087390487=20}]
[221934454(TR: 11.08517, TS: 10.64686) -> {880680199=780, 2087390487=20}]
[269917855(TR: 11.08553, TS: 10.65448) -> {880680199=546, 2087390487=14}]
[1498613766(TR: 11.08562, TS: 10.59122) -> {880680199=624, 2087390487=16}]
[277540195(TR: 11.08565, TS: 10.63324) -> {880680199=624, 2087390487=16}]
[1324719559(TR: 11.08582, TS: 10.66097) -> {880680199=936, 2087390487=24}]
[1790120160(TR: 11.08587, TS: 10.67434) -> {880680199=936, 2087390487=24}]
[727787144(TR: 11.08590, TS: 10.69296) -> {880680199=936, 2087390487=24}]
[1816606578(TR: 11.08590, TS: 10.73018) -> {880680199=936, 2087390487=24}]
[247370904(TR: 11.08592, TS: 10.66362) -> {880680199=624, 2087390487=16}]
[2096673215(TR: 11.08606, TS: 10.74096) -> {880680199=1452, 2087390487=38}]
[1586466254(TR: 11.08606, TS: 10.69078) -> {880680199=1350, 2087390487=35}]
[195485130(TR: 11.08611, TS: 10.68708) -> {880680199=1584, 2087390487=41}]
[1900446322(TR: 11.08612, TS: 10.78210) -> {880680199=2046, 2087390487=54}]
[1217048748(TR: 11.08621, TS: 10.65218) -> {880680199=234, 2087390487=6}]
[1783215502(TR: 11.08626, TS: 10.81009) -> {880680199=1334, 2087390487=37, 1689826712=1, 289890178=1, 597022555=1}]
[1471966592(TR: 11.08650, TS: 10.73507) -> {880680199=1662, 2087390487=43}]
[313270295(TR: 11.08652, TS: 10.69683) -> {880680199=936, 2087390487=24}]
[255786302(TR: 11.08662, TS: 10.65721) -> {880680199=1248, 2087390487=32}]
[679267474(TR: 11.08669, TS: 10.68784) -> {880680199=882, 2087390487=23}]
[471364720(TR: 11.08674, TS: 10.64254) -> {880680199=156, 2087390487=4}]
[1875334012(TR: 11.08674, TS: 10.70920) -> {880680199=1014, 2087390487=26}]
[392729783(TR: 11.08685, TS: 10.72560) -> {880680199=1662, 2087390487=43}]
[1505673876(TR: 11.08687, TS: 10.87180) -> {880680199=312, 2087390487=8}]
[106595879(TR: 11.08696, TS: 10.74813) -> {880680199=312, 2087390487=8}]
[1406363939(TR: 11.08702, TS: 10.65186) -> {880680199=312, 2087390487=8}]
[13472450(TR: 11.08702, TS: 10.68640) -> {880680199=702, 2087390487=18}]
[801659437(TR: 11.08706, TS: 10.71812) -> {880680199=624, 2087390487=16}]
[2104597069(TR: 11.08706, TS: 10.73624) -> {880680199=1920, 2087390487=50}]
[899907249(TR: 11.08716, TS: 10.68378) -> {880680199=1686, 2087390487=44}]
[1502912837(TR: 11.08718, TS: 10.57655) -> {880680199=390, 2087390487=10}]
[878739816(TR: 11.08718, TS: 10.65935) -> {880680199=390, 2087390487=10}]
[1160955483(TR: 11.08719, TS: 10.66917) -> {880680199=1272, 2087390487=33}]
[1800040122(TR: 11.08720, TS: 10.67274) -> {880680199=156, 2087390487=4}]
[388527135(TR: 11.08721, TS: 10.71873) -> {880680199=1014, 2087390487=26}]
[670288979(TR: 11.08726, TS: 10.70556) -> {880680199=624, 2087390487=16}]
[1948309224(TR: 11.08739, TS: 10.64098) -> {880680199=780, 2087390487=20}]
[1277643112(TR: 11.08743, TS: 10.83827) -> {880680199=468, 2087390487=12}]
[410735743(TR: 11.08748, TS: 10.70599) -> {880680199=546, 2087390487=14}]
[559125111(TR: 11.08749, TS: 10.69822) -> {880680199=1092, 2087390487=28}]
[1396082467(TR: 11.08755, TS: 10.70295) -> {880680199=1248, 2087390487=32}]
[632088612(TR: 11.08755, TS: 10.69330) -> {880680199=1248, 2087390487=32}]
[1740015682(TR: 11.08758, TS: 10.68499) -> {880680199=936, 2087390487=24}]
[1514893033(TR: 11.08759, TS: 10.74756) -> {880680199=1194, 2087390487=31}]
[1034155292(TR: 11.08786, TS: 10.68190) -> {880680199=1014, 2087390487=26}]
[2139932484(TR: 11.08791, TS: 10.75540) -> {880680199=624, 2087390487=16}]
[749446255(TR: 11.08798, TS: 10.66500) -> {880680199=702, 2087390487=18}]
[764848949(TR: 11.08801, TS: 10.70369) -> {880680199=624, 2087390487=16}]
[255828110(TR: 11.08811, TS: 10.70255) -> {880680199=1974, 2087390487=51}]
[378597578(TR: 11.08817, TS: 10.54640) -> {880680199=312, 2087390487=8}]
[1743365803(TR: 11.08820, TS: 10.65355) -> {880680199=702, 2087390487=18}]
[2134799968(TR: 11.08821, TS: 10.69600) -> {880680199=624, 2087390487=16}]
[234324697(TR: 11.08821, TS: 10.66828) -> {880680199=1116, 2087390487=29}]
[477115661(TR: 11.08824, TS: 10.69971) -> {880680199=1506, 2087390487=39}]
[906364118(TR: 11.08824, TS: 10.70113) -> {880680199=624, 2087390487=16}]
[981989632(TR: 11.08825, TS: 10.63302) -> {880680199=1452, 2087390487=38}]
[198661571(TR: 11.08833, TS: 10.70800) -> {880680199=936, 2087390487=24}]
[370328041(TR: 11.08834, TS: 10.75274) -> {880680199=1428, 2087390487=37}]
[271861577(TR: 11.08849, TS: 10.74808) -> {880680199=1428, 2087390487=37}]
[360637366(TR: 11.08876, TS: 10.71190) -> {880680199=1404, 2087390487=36}]
[607569303(TR: 11.08876, TS: 10.66425) -> {880680199=780, 2087390487=20}]
[606815601(TR: 11.08884, TS: 10.80082) -> {880680199=312, 2087390487=8}]
[370626738(TR: 11.08885, TS: 10.67627) -> {880680199=312, 2087390487=8}]
[1947628181(TR: 11.08889, TS: 10.68831) -> {880680199=1194, 2087390487=31}]
[1713245181(TR: 11.08895, TS: 10.69853) -> {880680199=1506, 2087390487=39}]
[417389186(TR: 11.08904, TS: 10.71442) -> {880680199=1404, 2087390487=36}]
[878611436(TR: 11.08909, TS: 10.69184) -> {880680199=1584, 2087390487=41}]
[1939592488(TR: 11.08909, TS: 10.69481) -> {880680199=2256, 2087390487=59}]
[1707899205(TR: 11.08909, TS: 10.69161) -> {880680199=3006, 2087390487=79}]
[2078706612(TR: 11.08926, TS: 10.67548) -> {880680199=780, 2087390487=20}]
[992440015(TR: 11.08926, TS: 10.71332) -> {880680199=312, 2087390487=8}]
[381214230(TR: 11.08931, TS: 10.67540) -> {880680199=1014, 2087390487=26}]
[280529877(TR: 11.08937, TS: 10.66498) -> {880680199=468, 2087390487=12}]
[1598822749(TR: 11.08941, TS: 10.69197) -> {880680199=1506, 2087390487=39}]
[1604146541(TR: 11.08945, TS: 10.66938) -> {880680199=1404, 2087390487=36}]
[252012774(TR: 11.08946, TS: 10.64601) -> {880680199=468, 2087390487=12}]
[1530375408(TR: 11.08953, TS: 10.69517) -> {880680199=1584, 2087390487=41}]
[1687076922(TR: 11.08961, TS: 10.73956) -> {880680199=1404, 2087390487=36}]
[1368250363(TR: 11.08964, TS: 10.70854) -> {880680199=1818, 2087390487=47}]
[1978390388(TR: 11.08967, TS: 10.70889) -> {880680199=936, 2087390487=24}]
[333296917(TR: 11.08968, TS: 10.67782) -> {880680199=1326, 2087390487=34}]
[29374532(TR: 11.08983, TS: 10.68469) -> {880680199=702, 2087390487=18}]
[1045235080(TR: 11.08992, TS: 10.75949) -> {880680199=1194, 2087390487=31}]
[364262722(TR: 11.08992, TS: 10.72290) -> {880680199=1584, 2087390487=41}]
[1807572988(TR: 11.09005, TS: 10.79419) -> {880680199=702, 2087390487=18}]
[1807698135(TR: 11.09011, TS: 10.74021) -> {880680199=1248, 2087390487=32}]
[1023959405(TR: 11.09014, TS: 10.62825) -> {880680199=156, 2087390487=4}]
[430985131(TR: 11.09015, TS: 10.71572) -> {880680199=1272, 2087390487=33}]
[410235358(TR: 11.09016, TS: 10.69813) -> {880680199=1170, 2087390487=30}]
[152808439(TR: 11.09017, TS: 10.69989) -> {880680199=312, 2087390487=8}]
[2011603120(TR: 11.09019, TS: 10.71936) -> {880680199=468, 2087390487=12}]
[1823499504(TR: 11.09023, TS: 10.65289) -> {880680199=546, 2087390487=14}]
[1766381049(TR: 11.09027, TS: 10.79304) -> {880680199=780, 2087390487=20}]
[1037602612(TR: 11.09030, TS: 10.70570) -> {880680199=1014, 2087390487=26}]
[2147048223(TR: 11.09037, TS: 10.71097) -> {880680199=624, 2087390487=16}]
