[1642809068(TR: 10.50144, TS: 9.98080) -> {880680199=5976, 2087390487=154}]
[1087959520(TR: 10.50153, TS: 10.02610) -> {880680199=1638, 2087390487=42}]
[81066251(TR: 10.50154, TS: 10.09706) -> {880680199=1092, 2087390487=28}]
[1117776340(TR: 10.50157, TS: 10.01855) -> {880680199=546, 2087390487=14}]
[2037910349(TR: 10.50177, TS: 9.95193) -> {880680199=5976, 2087390487=154}]
[2116596339(TR: 10.50188, TS: 10.09588) -> {880680199=1092, 2087390487=28}]
[1570181148(TR: 10.50196, TS: 10.09929) -> {880680199=2184, 2087390487=56}]
[1618707251(TR: 10.50198, TS: 10.07069) -> {880680199=2730, 2087390487=70}]
[1499516434(TR: 10.50224, TS: 10.11319) -> {880680199=1092, 2087390487=28}]
[1650480231(TR: 10.50228, TS: 9.95862) -> {880680199=1092, 2087390487=28}]
[127053767(TR: 10.50247, TS: 10.08562) -> {880680199=2730, 2087390487=70}]
[994891293(TR: 10.50251, TS: 9.99119) -> {880680199=1092, 2087390487=28}]
[1677954872(TR: 10.50261, TS: 10.08306) -> {880680199=4368, 2087390487=112}]
[69221555(TR: 10.50272, TS: 10.08645) -> {880680199=1638, 2087390487=42}]
[375277415(TR: 10.50283, TS: 9.97739) -> {880680199=2184, 2087390487=56}]
[1266653071(TR: 10.50293, TS: 10.07957) -> {880680199=6522, 2087390487=168}]
[872262551(TR: 10.50306, TS: 10.06527) -> {880680199=7410, 2087390487=190}]
[910023935(TR: 10.50310, TS: 10.06806) -> {880680199=2184, 2087390487=56}]
[1379717152(TR: 10.50324, TS: 10.05955) -> {880680199=3276, 2087390487=84}]
[1699276295(TR: 10.50330, TS: 10.03875) -> {880680199=1092, 2087390487=28}]
[1001871402(TR: 10.50332, TS: 10.17090) -> {880680199=1092, 2087390487=28}]
[1664459143(TR: 10.50338, TS: 10.02675) -> {880680199=1638, 2087390487=42}]
[1471987729(TR: 10.50345, TS: 10.08228) -> {880680199=2184, 2087390487=56}]
[1978035263(TR: 10.50352, TS: 10.02485) -> {880680199=1092, 2087390487=28}]
[1947278497(TR: 10.50359, TS: 10.04462) -> {880680199=1638, 2087390487=42}]
[988193341(TR: 10.50360, TS: 10.10024) -> {880680199=1638, 2087390487=42}]
[199971128(TR: 10.50360, TS: 9.96506) -> {880680199=546, 2087390487=14}]
[1294619630(TR: 10.50361, TS: 10.04391) -> {880680199=10680, 2087390487=275}]
[832744190(TR: 10.50362, TS: 10.06499) -> {880680199=2730, 2087390487=70}]
[1046086077(TR: 10.50381, TS: 10.12921) -> {880680199=546, 2087390487=14}]
[1877599711(TR: 10.50381, TS: 10.03894) -> {880680199=7068, 2087390487=182}]
[1891860207(TR: 10.50381, TS: 10.00144) -> {880680199=1092, 2087390487=28}]
[1418907475(TR: 10.50391, TS: 10.12810) -> {880680199=1638, 2087390487=42}]
[984316821(TR: 10.50392, TS: 9.97116) -> {880680199=1092, 2087390487=28}]
[441230850(TR: 10.50396, TS: 10.05773) -> {880680199=2184, 2087390487=56}]
[1905498018(TR: 10.50407, TS: 10.11312) -> {880680199=2184, 2087390487=56}]
[867776148(TR: 10.50415, TS: 10.11350) -> {880680199=1092, 2087390487=28}]
[1387238565(TR: 10.50423, TS: 10.03153) -> {880680199=5976, 2087390487=154}]
[766268484(TR: 10.50425, TS: 10.06432) -> {880680199=546, 2087390487=14}]
[1089468628(TR: 10.50433, TS: 9.94697) -> {880680199=546, 2087390487=14}]
[974678987(TR: 10.50436, TS: 10.05046) -> {880680199=2184, 2087390487=56}]
[339528337(TR: 10.50441, TS: 10.16027) -> {880680199=1092, 2087390487=28}]
[1534960166(TR: 10.50449, TS: 10.03267) -> {880680199=2184, 2087390487=56}]
[1684785349(TR: 10.50449, TS: 10.06410) -> {880680199=9042, 2087390487=233}]
[492085680(TR: 10.50459, TS: 10.06492) -> {880680199=1092, 2087390487=28}]
[1867421897(TR: 10.50461, TS: 10.11636) -> {880680199=546, 2087390487=14}]
[1494514580(TR: 10.50461, TS: 10.07208) -> {880680199=1638, 2087390487=42}]
[1669574035(TR: 10.50465, TS: 9.97502) -> {880680199=6864, 2087390487=176}]
[1541593458(TR: 10.50466, TS: 10.03980) -> {880680199=1092, 2087390487=28}]
[1089571351(TR: 10.50492, TS: 10.23740) -> {880680199=546, 2087390487=14}]
[977502534(TR: 10.50492, TS: 10.05637) -> {880680199=2184, 2087390487=56}]
[1154632872(TR: 10.50496, TS: 10.07421) -> {880680199=1638, 2087390487=42}]
[162935817(TR: 10.50514, TS: 10.04233) -> {880680199=2184, 2087390487=56}]
[1163638298(TR: 10.50519, TS: 10.08792) -> {880680199=3822, 2087390487=98}]
[1672762950(TR: 10.50519, TS: 10.02671) -> {880680199=1092, 2087390487=28}]
[894820756(TR: 10.50522, TS: 10.04286) -> {880680199=2184, 2087390487=56}]
[226200907(TR: 10.50522, TS: 10.04591) -> {880680199=1638, 2087390487=42}]
[361234840(TR: 10.50522, TS: 10.04147) -> {880680199=1638, 2087390487=42}]
[1414488841(TR: 10.50545, TS: 10.05491) -> {880680199=3276, 2087390487=84}]
[1317822805(TR: 10.50550, TS: 9.94932) -> {880680199=1638, 2087390487=42}]
[525118490(TR: 10.50550, TS: 10.03443) -> {880680199=1638, 2087390487=42}]
[1251867306(TR: 10.50559, TS: 9.98147) -> {880680199=3822, 2087390487=98}]
[1701158875(TR: 10.50572, TS: 10.06368) -> {880680199=2184, 2087390487=56}]
[1221516523(TR: 10.50591, TS: 10.05142) -> {880680199=1638, 2087390487=42}]
[840467860(TR: 10.50592, TS: 10.00204) -> {880680199=6522, 2087390487=168}]
[393572823(TR: 10.50597, TS: 10.11011) -> {880680199=1092, 2087390487=28}]
[1588051877(TR: 10.50600, TS: 10.03751) -> {880680199=9174, 2087390487=236}]
[1622149406(TR: 10.50605, TS: 10.06773) -> {880680199=8502, 2087390487=218}]
[384959673(TR: 10.50618, TS: 9.94555) -> {880680199=546, 2087390487=14}]
[708125817(TR: 10.50630, TS: 10.04116) -> {880680199=1092, 2087390487=28}]
[1233976333(TR: 10.50655, TS: 10.09182) -> {880680199=5976, 2087390487=154}]
[689239259(TR: 10.50672, TS: 10.06971) -> {880680199=3276, 2087390487=84}]
[801499788(TR: 10.50686, TS: 9.93670) -> {880680199=1638, 2087390487=42}]
[751834593(TR: 10.50716, TS: 10.07182) -> {880680199=2184, 2087390487=56}]
[43182306(TR: 10.50733, TS: 10.03730) -> {880680199=1092, 2087390487=28}]
[212760135(TR: 10.50733, TS: 10.04375) -> {880680199=2730, 2087390487=70}]
[205487316(TR: 10.50734, TS: 10.04151) -> {880680199=1092, 2087390487=28}]
[552341423(TR: 10.50735, TS: 10.03741) -> {880680199=546, 2087390487=14}]
[900474536(TR: 10.50756, TS: 10.15122) -> {880680199=546, 2087390487=14}]
[1246716436(TR: 10.50757, TS: 10.02872) -> {880680199=2184, 2087390487=56}]
[1038184021(TR: 10.50765, TS: 10.00799) -> {880680199=1092, 2087390487=28}]
[2100334385(TR: 10.50766, TS: 10.05157) -> {880680199=1092, 2087390487=28}]
[696090457(TR: 10.50770, TS: 10.08654) -> {880680199=1638, 2087390487=42}]
[403961760(TR: 10.50777, TS: 10.04873) -> {880680199=13292, 2087390487=344, 1689826712=1, 289890178=1, 597022555=1}]
[783724849(TR: 10.50779, TS: 10.06797) -> {880680199=3822, 2087390487=98}]
[1460071121(TR: 10.50782, TS: 10.12918) -> {880680199=1092, 2087390487=28}]
[365154527(TR: 10.50783, TS: 9.98817) -> {880680199=3276, 2087390487=84}]
[308972336(TR: 10.50792, TS: 10.02946) -> {880680199=2184, 2087390487=56}]
[156143477(TR: 10.50794, TS: 10.09250) -> {880680199=1638, 2087390487=42}]
[1769913583(TR: 10.50796, TS: 10.00925) -> {880680199=1638, 2087390487=42}]
[1647369271(TR: 10.50801, TS: 10.04228) -> {880680199=6864, 2087390487=176}]
[608561226(TR: 10.50815, TS: 10.09094) -> {880680199=5928, 2087390487=152}]
[1494089360(TR: 10.50817, TS: 10.04435) -> {880680199=3276, 2087390487=84}]
[1158195354(TR: 10.50820, TS: 9.97975) -> {880680199=2184, 2087390487=56}]
[557647208(TR: 10.50828, TS: 9.98564) -> {880680199=7098, 2087390487=182}]
[707903165(TR: 10.50841, TS: 10.04218) -> {880680199=1092, 2087390487=28}]
[486423573(TR: 10.50843, TS: 10.04927) -> {880680199=6864, 2087390487=176}]
[473041768(TR: 10.50866, TS: 10.03943) -> {880680199=3276, 2087390487=84}]
[1441614787(TR: 10.50869, TS: 10.13693) -> {880680199=1638, 2087390487=42}]
[1921962901(TR: 10.50869, TS: 10.02343) -> {880680199=1638, 2087390487=42}]
[528303941(TR: 10.50870, TS: 10.07548) -> {880680199=2184, 2087390487=56}]
[320366217(TR: 10.50879, TS: 10.06711) -> {880680199=2730, 2087390487=70}]
[747930746(TR: 10.50897, TS: 10.14376) -> {880680199=1092, 2087390487=28}]
[671279110(TR: 10.50918, TS: 10.02928) -> {880680199=3276, 2087390487=84}]
[1571869996(TR: 10.50926, TS: 10.04949) -> {880680199=7068, 2087390487=182}]
[223140925(TR: 10.50929, TS: 10.02173) -> {880680199=1638, 2087390487=42}]
[91434682(TR: 10.50930, TS: 10.04945) -> {880680199=1638, 2087390487=42}]
[982430922(TR: 10.50934, TS: 10.07442) -> {880680199=2730, 2087390487=70}]
[1632374530(TR: 10.50937, TS: 10.04986) -> {880680199=6864, 2087390487=176}]
[168466978(TR: 10.50938, TS: 9.98579) -> {880680199=9174, 2087390487=236}]
[378565415(TR: 10.50940, TS: 10.11214) -> {880680199=2730, 2087390487=70}]
[1501019611(TR: 10.50961, TS: 10.01522) -> {880680199=2730, 2087390487=70}]
[1480756712(TR: 10.50977, TS: 10.04422) -> {880680199=5928, 2087390487=152}]
[105367368(TR: 10.50979, TS: 10.05467) -> {880680199=1638, 2087390487=42}]
[333153772(TR: 10.50981, TS: 10.06295) -> {880680199=3276, 2087390487=84}]
[1999006505(TR: 10.50982, TS: 10.06800) -> {880680199=1638, 2087390487=42}]
[1002935784(TR: 10.50985, TS: 10.02840) -> {880680199=1638, 2087390487=42}]
[58878047(TR: 10.50987, TS: 10.04234) -> {880680199=2730, 2087390487=70}]
[1278834982(TR: 10.50987, TS: 10.10102) -> {880680199=2730, 2087390487=70}]
[142748843(TR: 10.50995, TS: 10.07447) -> {880680199=6522, 2087390487=168}]
[267223174(TR: 10.51019, TS: 10.14619) -> {880680199=6522, 2087390487=168}]
[524140980(TR: 10.51020, TS: 10.02074) -> {880680199=1092, 2087390487=28}]
[407530300(TR: 10.51021, TS: 10.06965) -> {880680199=7068, 2087390487=182}]
[20249578(TR: 10.51028, TS: 10.02165) -> {880680199=2184, 2087390487=56}]
[1648276218(TR: 10.51029, TS: 10.04159) -> {880680199=546, 2087390487=14}]
[327151464(TR: 10.51035, TS: 10.12492) -> {880680199=1092, 2087390487=28}]
