[146448107(TR: 9.55227, TS: 9.15064) -> {880680199=27400474, 2087390487=712122, 1689826712=2951, 289890178=2951, 597022555=2951}]
[374012945(TR: 9.55229, TS: 9.14741) -> {880680199=34321074, 2087390487=891982, 1689826712=3696, 289890178=3696, 597022555=3696}]
[815555989(TR: 9.55229, TS: 9.12852) -> {880680199=20111754, 2087390487=522692, 1689826712=2166, 289890178=2166, 597022555=2166}]
[1641471603(TR: 9.55248, TS: 9.11735) -> {880680199=10587420, 2087390487=275160, 1689826712=1140, 289890178=1140, 597022555=1140}]
[1028082020(TR: 9.55280, TS: 9.13486) -> {880680199=27438872, 2087390487=713124, 1689826712=2956, 289890178=2956, 597022555=2956}]
[2091684009(TR: 9.55283, TS: 9.11988) -> {880680199=9854056, 2087390487=256100, 1689826712=1061, 289890178=1061, 597022555=1061}]
[793764452(TR: 9.55285, TS: 9.05904) -> {880680199=2200092, 2087390487=57180, 1689826712=237, 289890178=237, 597022555=237}]
[2017297592(TR: 9.55287, TS: 9.05106) -> {880680199=9854056, 2087390487=256100, 1689826712=1061, 289890178=1061, 597022555=1061}]
[2134306482(TR: 9.55297, TS: 9.12925) -> {880680199=16079690, 2087390487=417902, 1689826712=1732, 289890178=1732, 597022555=1732}]
[1728516133(TR: 9.55299, TS: 9.14105) -> {880680199=10625818, 2087390487=276162, 1689826712=1145, 289890178=1145, 597022555=1145}]
[923501155(TR: 9.55312, TS: 9.14114) -> {880680199=31699726, 2087390487=823849, 1689826712=3410, 289890178=3410, 597022555=3410}]
[596105342(TR: 9.55316, TS: 9.12490) -> {880680199=23374932, 2087390487=607500, 1689826712=2517, 289890178=2517, 597022555=2517}]
[1796010434(TR: 9.55321, TS: 9.18466) -> {880680199=16677448, 2087390487=433438, 1689826712=1796, 289890178=1796, 597022555=1796}]
[886391486(TR: 9.55336, TS: 9.05211) -> {880680199=29142494, 2087390487=757379, 1689826712=3133, 289890178=3133, 597022555=3133}]
[1604765405(TR: 9.55343, TS: 9.13050) -> {880680199=38385014, 2087390487=997606, 1689826712=4135, 289890178=4135, 597022555=4135}]
[1115660671(TR: 9.55344, TS: 9.09046) -> {880680199=38088082, 2087390487=989878, 1689826712=4100, 289890178=4100, 597022555=4100}]
[1324472851(TR: 9.55346, TS: 9.14912) -> {880680199=25933746, 2087390487=674002, 1689826712=2793, 289890178=2793, 597022555=2793}]
[1353691585(TR: 9.55347, TS: 9.14229) -> {880680199=25575024, 2087390487=664680, 1689826712=2754, 289890178=2754, 597022555=2754}]
[961938727(TR: 9.55353, TS: 9.12891) -> {880680199=9854056, 2087390487=256100, 1689826712=1061, 289890178=1061, 597022555=1061}]
[102575915(TR: 9.55360, TS: 9.06520) -> {880680199=21869806, 2087390487=568378, 1689826712=2354, 289890178=2354, 597022555=2354}]
[1182551225(TR: 9.55366, TS: 9.12575) -> {880680199=51134128, 2087390487=1328944, 1689826712=5507, 289890178=5507, 597022555=5507}]
[1802558478(TR: 9.55366, TS: 9.02631) -> {880680199=34634764, 2087390487=900121, 1689826712=3725, 289890178=3725, 597022555=3725}]
[1652986746(TR: 9.55372, TS: 9.15114) -> {880680199=25933746, 2087390487=674002, 1689826712=2793, 289890178=2793, 597022555=2793}]
[218995830(TR: 9.55376, TS: 9.12526) -> {880680199=16079690, 2087390487=417902, 1689826712=1732, 289890178=1732, 597022555=1732}]
[699400426(TR: 9.55384, TS: 9.14255) -> {880680199=5556020, 2087390487=144398, 1689826712=598, 289890178=598, 597022555=598}]
[1154296190(TR: 9.55385, TS: 9.14270) -> {880680199=9495334, 2087390487=246778, 1689826712=1022, 289890178=1022, 597022555=1022}]
[302415838(TR: 9.55385, TS: 9.14896) -> {880680199=7022748, 2087390487=182518, 1689826712=756, 289890178=756, 597022555=756}]
[1938403268(TR: 9.55389, TS: 9.06594) -> {880680199=17546418, 2087390487=456022, 1689826712=1890, 289890178=1890, 597022555=1890}]
[1511478799(TR: 9.55391, TS: 9.13181) -> {880680199=25714756, 2087390487=668299, 1689826712=2765, 289890178=2765, 597022555=2765}]
[2008814314(TR: 9.55401, TS: 9.13005) -> {880680199=26006818, 2087390487=675895, 1689826712=2798, 289890178=2798, 597022555=2798}]
[1457879884(TR: 9.55402, TS: 9.15646) -> {880680199=25238780, 2087390487=655944, 1689826712=2719, 289890178=2719, 597022555=2719}]
[1756105179(TR: 9.55402, TS: 9.11876) -> {880680199=29264322, 2087390487=760566, 1689826712=3153, 289890178=3153, 597022555=3153}]
[141270511(TR: 9.55436, TS: 9.17141) -> {880680199=33321738, 2087390487=866010, 1689826712=3588, 289890178=3588, 597022555=3588}]
[525854026(TR: 9.55452, TS: 9.14528) -> {880680199=16951640, 2087390487=440560, 1689826712=1825, 289890178=1825, 597022555=1825}]
[1645597431(TR: 9.55454, TS: 9.15265) -> {880680199=733364, 2087390487=19060, 1689826712=79, 289890178=79, 597022555=79}]
[1786772927(TR: 9.55459, TS: 9.12951) -> {880680199=38807486, 2087390487=1008584, 1689826712=4180, 289890178=4180, 597022555=4180}]
[1043304954(TR: 9.55466, TS: 9.12004) -> {880680199=49070858, 2087390487=1275313, 1689826712=5281, 289890178=5281, 597022555=5281}]
[510807744(TR: 9.55467, TS: 9.14284) -> {880680199=18616026, 2087390487=483818, 1689826712=2004, 289890178=2004, 597022555=2004}]
[1388098963(TR: 9.55467, TS: 9.11235) -> {880680199=19479756, 2087390487=506266, 1689826712=2097, 289890178=2097, 597022555=2097}]
[1203452030(TR: 9.55471, TS: 9.05452) -> {880680199=18577628, 2087390487=482816, 1689826712=1999, 289890178=1999, 597022555=1999}]
[98160946(TR: 9.55472, TS: 9.09956) -> {880680199=32607204, 2087390487=847436, 1689826712=3510, 289890178=3510, 597022555=3510}]
[164727559(TR: 9.55498, TS: 9.13112) -> {880680199=35826200, 2087390487=931104, 1689826712=3859, 289890178=3859, 597022555=3859}]
[1056352131(TR: 9.55501, TS: 9.14214) -> {880680199=48239070, 2087390487=1253706, 1689826712=5196, 289890178=5196, 597022555=5196}]
[537919723(TR: 9.55511, TS: 9.13583) -> {880680199=30772246, 2087390487=799745, 1689826712=3311, 289890178=3311, 597022555=3311}]
[1795888538(TR: 9.55511, TS: 9.07756) -> {880680199=20806720, 2087390487=540750, 1689826712=2240, 289890178=2240, 597022555=2240}]
[1854349903(TR: 9.55517, TS: 8.98885) -> {880680199=2200092, 2087390487=57180, 1689826712=237, 289890178=237, 597022555=237}]
[1699109539(TR: 9.55519, TS: 9.13032) -> {880680199=39256964, 2087390487=1020264, 1689826712=4228, 289890178=4228, 597022555=4228}]
[1173428664(TR: 9.55558, TS: 9.07870) -> {880680199=21571960, 2087390487=560644, 1689826712=2324, 289890178=2324, 597022555=2324}]
[1986356057(TR: 9.55562, TS: 9.12879) -> {880680199=29562168, 2087390487=768300, 1689826712=3183, 289890178=3183, 597022555=3183}]
[564638336(TR: 9.55567, TS: 9.05405) -> {880680199=31723862, 2087390487=824478, 1689826712=3415, 289890178=3415, 597022555=3415}]
[1986230101(TR: 9.55571, TS: 9.09169) -> {880680199=24972026, 2087390487=649008, 1689826712=2689, 289890178=2689, 597022555=2689}]
[991071480(TR: 9.55571, TS: 9.13839) -> {880680199=20876994, 2087390487=542586, 1689826712=2250, 289890178=2250, 597022555=2250}]
[1722830696(TR: 9.55582, TS: 9.09490) -> {880680199=11320784, 2087390487=294220, 1689826712=1219, 289890178=1219, 597022555=1219}]
[2048901772(TR: 9.55592, TS: 9.08902) -> {880680199=19746510, 2087390487=513202, 1689826712=2127, 289890178=2127, 597022555=2127}]
[388750149(TR: 9.55593, TS: 9.14395) -> {880680199=37254530, 2087390487=968222, 1689826712=4012, 289890178=4012, 597022555=4012}]
[946987028(TR: 9.55598, TS: 9.15697) -> {880680199=28867202, 2087390487=750242, 1689826712=3109, 289890178=3109, 597022555=3109}]
[1549673341(TR: 9.55608, TS: 9.19088) -> {880680199=30388282, 2087390487=789770, 1689826712=3272, 289890178=3272, 597022555=3272}]
[1481740760(TR: 9.55609, TS: 9.14872) -> {880680199=22343722, 2087390487=580706, 1689826712=2408, 289890178=2408, 597022555=2408}]
[300517476(TR: 9.55612, TS: 9.12738) -> {880680199=28600448, 2087390487=743306, 1689826712=3079, 289890178=3079, 597022555=3079}]
[640658189(TR: 9.55622, TS: 9.07064) -> {880680199=8425726, 2087390487=218982, 1689826712=908, 289890178=908, 597022555=908}]
[189211006(TR: 9.55626, TS: 9.10424) -> {880680199=25536626, 2087390487=663678, 1689826712=2749, 289890178=2749, 597022555=2749}]
[1607249567(TR: 9.55636, TS: 9.13180) -> {880680199=23038688, 2087390487=598764, 1689826712=2482, 289890178=2482, 597022555=2482}]
[45852586(TR: 9.55651, TS: 9.09305) -> {880680199=51134128, 2087390487=1328944, 1689826712=5507, 289890178=5507, 597022555=5507}]
[1503068979(TR: 9.55652, TS: 9.17544) -> {880680199=4400184, 2087390487=114360, 1689826712=474, 289890178=474, 597022555=474}]
[1810466222(TR: 9.55654, TS: 9.11591) -> {880680199=59835146, 2087390487=1555063, 1689826712=6439, 289890178=6439, 597022555=6439}]
[1365997082(TR: 9.55672, TS: 9.13402) -> {880680199=35826200, 2087390487=931104, 1689826712=3859, 289890178=3859, 597022555=3859}]
[246553962(TR: 9.55673, TS: 9.16275) -> {880680199=6600276, 2087390487=171540, 1689826712=711, 289890178=711, 597022555=711}]
[1868372244(TR: 9.55676, TS: 9.13797) -> {880680199=46375222, 2087390487=1205262, 1689826712=4994, 289890178=4994, 597022555=4994}]
[1212036516(TR: 9.55678, TS: 9.14506) -> {880680199=21213238, 2087390487=551322, 1689826712=2285, 289890178=2285, 597022555=2285}]
[1114587423(TR: 9.55682, TS: 9.12769) -> {880680199=18241384, 2087390487=474080, 1689826712=1964, 289890178=1964, 597022555=1964}]
[1546145141(TR: 9.55687, TS: 9.05703) -> {880680199=16813054, 2087390487=436962, 1689826712=1811, 289890178=1811, 597022555=1811}]
[1538947677(TR: 9.55687, TS: 9.10656) -> {880680199=36264516, 2087390487=942487, 1689826712=3903, 289890178=3903, 597022555=3903}]
[1653663643(TR: 9.55691, TS: 9.11587) -> {880680199=9581562, 2087390487=249020, 1689826712=1032, 289890178=1032, 597022555=1032}]
[1515140463(TR: 9.55693, TS: 9.08492) -> {880680199=31873840, 2087390487=828376, 1689826712=3431, 289890178=3431, 597022555=3431}]
[1150453942(TR: 9.55706, TS: 9.12538) -> {880680199=24980246, 2087390487=649218, 1689826712=2689, 289890178=2689, 597022555=2689}]
